Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,78,0,53000,52874.96635183776,47512.26596208289,59922.656590119004,128.0,0.26308893979149917,0.0,53000,55000,56000,56000,57000,60000,60000,60000,60000,60000,60000
TPOT,completion,78,0,390,393.06578457652773,351.7602082198911,447.86035296815174,0.0,0.26308893979149917,0.0,390,410,420,420,420,430,450,450,450,450,450
TTFT,completion,78,0,2900,2955.561072923816,2590.8695589751005,5585.374424001202,0.0,0.26308893979149917,0.0,2900,3000,3000,3000,3100,3600,3800,5600,5600,5600,5600
,Aggregated,234,0,2900,18741.197736446033,351.7602082198911,59922.656590119004,42.666666666666664,0.7892668193744976,0.0,2900,3800,51000,51000,56000,57000,58000,60000,60000,60000,60000
