pp	prompt_tok	ttft_s	tok_s
1	1	0.063	16.0
2	2	0.071	28.2
4	4	0.071	56.7
8	8	0.076	104.9
16	16	0.083	193.5
32	32	0.141	226.4
48	48	0.201	239.2
64	64	0.261	245.2
96	96	0.377	254.4
128	128	0.491	260.6
256	256	0.936	273.6
384	384	1.310	293.0
512	512	1.738	294.5
768	768	2.615	293.7
1024	1024	3.497	292.9
1536	1536	5.312	289.2
2048	2048	7.173	285.5
3072	3072	11.907	258.0
4096	4096	15.103	271.2
