Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,70,0,39000,38827.29290099482,25555.902345106006,49402.02960604802,128.0,0.2449855624946709,0.0,39000,42000,44000,45000,47000,48000,49000,49000,49000,49000,49000
TPOT,completion,70,0,280,283.7408098576567,182.10923522857465,374.08026331471,0.0,0.2449855624946709,0.0,280,300,310,320,350,360,370,370,370,370,370
TTFT,completion,70,0,2400,2792.1608174552343,1800.3272679634392,7858.261662069708,0.0,0.2449855624946709,0.0,2400,3100,3500,3500,4000,5900,6900,7900,7900,7900,7900
,Aggregated,210,0,2400,13967.731509435902,182.10923522857465,49402.02960604802,42.666666666666664,0.7349566874840127,0.0,2400,6900,35000,37000,42000,46000,48000,49000,49000,49000,49000
