users	ttft_p50	ttft_p90	ttft_p99	ttft_mean	tpot_p50	tpot_p90	tpot_mean	itl_p50	itl_p90	itl_p99	itl_mean	e2e_p50	e2e_p90	e2e_p99	srv_prefill_p50	srv_tpot_p50	queue_p50
2	1.686	1.780	1.783	1.705	140.0	144.0	136.6	127.7	133.7	135.7	136.6	19.45	19.96	20.18	-	-	-
4	1.519	2.626	2.789	1.730	148.6	164.2	148.1	133.5	135.0	1373.1	148.1	20.87	22.31	22.57	-	-	-
8	1.628	4.009	4.451	2.247	180.1	209.4	175.9	143.1	148.4	1486.3	175.9	24.41	28.03	29.04	-	-	-
12	2.271	4.930	6.762	2.814	199.5	245.6	199.8	150.7	153.7	1620.2	199.8	28.84	34.34	36.85	-	-	-
16	1.789	4.738	8.976	2.856	222.9	285.7	230.5	146.3	162.5	2594.7	230.5	30.82	42.16	43.67	-	-	-
