pp	prompt_tok	ttft_s	tok_s
1	1	0.138	7.3
2	2	0.129	15.5
4	4	0.134	29.8
8	8	0.143	56.1
16	16	0.142	113.0
32	32	0.163	196.1
48	48	0.167	287.6
64	64	0.176	363.1
96	96	0.199	482.2
128	128	0.220	580.8
256	256	0.389	657.6
384	384	0.555	691.8
512	512	0.717	714.3
768	768	1.052	730.2
1024	1024	1.479	692.3
1536	1536	2.253	681.9
2048	2048	3.073	666.5
3072	3072	4.920	624.3
4096	4096	6.769	605.1
