users	ttft_p50	ttft_p90	ttft_p99	ttft_mean	tpot_p50	tpot_p90	tpot_mean	itl_p50	itl_p90	itl_p99	itl_mean	e2e_p50	e2e_p90	e2e_p99	srv_prefill_p50	srv_tpot_p50	queue_p50
2	2.594	2.690	2.722	2.594	231.8	236.1	232.2	237.0	241.4	266.2	232.2	31.93	32.65	32.73	-	-	-
4	2.845	3.046	3.202	2.837	256.8	264.4	258.6	244.7	255.1	298.9	258.6	35.52	36.62	38.93	-	-	-
8	2.924	3.402	3.769	2.957	297.7	315.5	299.1	249.4	259.3	2738.3	299.1	40.76	43.17	45.22	-	-	-
12	2.908	3.041	4.668	2.942	340.2	366.5	341.4	254.1	273.1	2777.0	341.4	46.05	49.56	50.21	-	-	-
16	2.916	3.070	4.198	2.956	391.3	422.5	393.1	269.4	299.8	2816.1	393.1	52.57	56.69	59.91	-	-	-
