users	reqs	fail	mean_conc	req_per_min	cl_pp_tps_wallavg	cl_tg_tps_wallavg	cl_tot_tps_wallavg	user_pp_tps	user_tg_tps	prompt_tok	out_tok
2	17	0	1.92	3.59	61.2	7.65	68.8	395.2	4.31	1024	128
4	31	0	3.74	6.28	107.2	13.41	120.6	362.1	3.87	1024	128
8	51	0	7.21	10.56	180.2	22.53	202.8	348.9	3.35	1024	128
12	66	0	10.51	13.62	232.5	29.06	261.5	351.3	2.94	1024	128
16	78	0	14.15	16.06	274.1	34.26	308.3	350.0	2.55	1024	128
