Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,38,0,55000,55120.05586166082,47933.33572987467,65436.37289782055,128.0,0.12728486941440034,0.0,55000,57000,59000,59000,60000,61000,65000,65000,65000,65000,65000
TPOT,completion,38,0,390,397.17399909470174,343.83987833738445,470.6230196207175,0.0,0.12728486941440034,0.0,390,410,420,430,430,440,470,470,470,470,470
TTFT,completion,38,0,4500,4678.852948942222,3845.241656061262,5671.507238876075,0.0,0.12728486941440034,0.0,4500,4800,4900,4900,5600,5700,5700,5700,5700,5700,5700
,Aggregated,114,0,4500,20065.360936565903,343.83987833738445,65436.37289782055,42.666666666666664,0.381854608243201,0.0,4500,5700,52000,53000,58000,59000,61000,61000,65000,65000,65000
