Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,20,0,53000,51905.1211818587,42952.12367689237,59589.90525198169,128.0,0.07093704460415905,0.0,53000,55000,58000,58000,59000,60000,60000,60000,60000,60000,60000
TPOT,completion,20,0,380,365.1605797910469,303.28731666003745,418.10170429993394,0.0,0.07093704460415905,0.0,380,390,410,410,410,420,420,420,420,420,420
TTFT,completion,20,0,5500,5529.301698727068,4085.3061529342085,7291.608606930822,0.0,0.07093704460415905,0.0,5500,6200,6200,6300,6500,7300,7300,7300,7300,7300,7300
,Aggregated,60,0,5500,19266.52782012561,303.28731666003745,59589.90525198169,42.666666666666664,0.21281113381247715,0.0,5500,7300,49000,50000,58000,58000,59000,60000,60000,60000,60000
