Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,47,0,59000,61846.49879446729,44385.03348501399,87073.453981895,128.0,0.15728389947881405,0.0,59000,71000,72000,75000,78000,80000,87000,87000,87000,87000,87000
TPOT,completion,47,0,440,458.0532447509463,324.03889144074145,657.3950124952179,0.0,0.15728389947881405,0.0,440,530,540,560,580,590,660,660,660,660,660
TTFT,completion,47,0,3500,3673.1713352566385,2998.8738580141217,6410.516866017133,0.0,0.15728389947881405,0.0,3500,3700,3900,3900,4100,4200,6400,6400,6400,6400,6400
,Aggregated,141,0,3500,21992.574458158288,324.03889144074145,87073.453981895,42.666666666666664,0.47185169843644215,0.0,3500,6400,50000,57000,71000,75000,80000,86000,87000,87000,87000
