Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,76,0,31000,32129.06825176967,24222.28704416193,43910.98452801816,128.0,0.2544514188463582,0.0,31000,32000,33000,34000,42000,43000,44000,44000,44000,44000,44000
TPOT,completion,76,0,220,230.4938586679249,179.26755012563012,331.7803500392511,0.0,0.2544514188463582,0.0,220,240,240,250,300,320,320,330,330,330,330
TTFT,completion,76,0,1800,2856.2947072082593,1398.8809601869434,11426.982406061143,0.0,0.2544514188463582,0.0,1800,3200,4100,4100,4800,7500,8200,11000,11000,11000,11000
,Aggregated,228,0,1800,11738.618939215285,179.26755012563012,43910.98452801816,42.666666666666664,0.7633542565390745,0.0,1800,8200,29000,30000,32000,41000,43000,43000,44000,44000,44000
