Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,31,0,36000,35679.05104553117,34172.54152102396,38974.94638990611,128.0,0.10410145230103592,0.0,36000,36000,36000,36000,37000,39000,39000,39000,39000,39000,39000
TPOT,completion,31,0,260,258.6013707924887,248.72610190567949,283.4735788885269,0.0,0.10410145230103592,0.0,260,260,260,260,260,280,280,280,280,280,280
TTFT,completion,31,0,2800,2836.571829258314,2427.714440971613,3235.055019147694,0.0,0.10410145230103592,0.0,2800,2900,2900,2900,3000,3100,3200,3200,3200,3200,3200
,Aggregated,93,0,2800,12924.741415193988,248.72610190567949,38974.94638990611,42.666666666666664,0.31230435690310776,0.0,2800,3200,35000,35000,36000,36000,39000,39000,39000,39000,39000
