users	ttft_p50	ttft_p90	ttft_p99	ttft_mean	tpot_p50	tpot_p90	tpot_mean	itl_p50	itl_p90	itl_p99	itl_mean	e2e_p50	e2e_p90	e2e_p99	srv_prefill_p50	srv_tpot_p50	queue_p50
2	2.793	2.874	2.904	2.792	229.7	239.1	228.4	233.9	239.3	274.6	228.4	31.97	33.25	35.26	2783.3	229.7	1.7
4	3.242	3.409	3.634	3.244	272.7	329.8	283.2	249.5	287.0	510.5	283.2	38.00	45.02	47.94	3118.3	272.7	195.3
8	3.624	5.267	6.816	3.973	337.3	422.7	360.1	261.6	487.6	3408.6	360.1	46.72	57.53	69.58	3395.8	337.3	218.0
12	3.544	4.034	5.656	3.673	438.2	577.0	458.1	273.2	525.7	3577.8	458.1	59.14	77.45	86.80	3336.3	438.2	216.4
16	4.318	7.559	10.723	5.133	562.2	724.5	546.1	295.9	553.4	3830.8	546.1	77.06	97.71	100.43	3650.3	562.2	536.4
