users	reqs	fail	mean_conc	req_per_min	cl_pp_tps_wallavg	cl_tg_tps_wallavg	cl_tot_tps_wallavg	user_pp_tps	user_tg_tps	prompt_tok	out_tok
2	17	0	1.92	3.61	61.7	7.71	69.4	367.1	4.44	1024	128
4	28	0	3.79	5.79	98.9	12.36	111.3	317.2	3.56	1024	128
8	42	0	7.04	8.69	144.8	18.10	162.9	267.3	2.84	1024	128
12	47	0	9.96	9.67	165.0	20.62	185.6	282.8	2.28	1024	128
16	49	0	13.48	10.86	185.3	23.16	208.5	220.7	1.92	1024	128
