users	instance	cores	weight	wrr_share_pct	served	served_pct
2	inst0	192-207	16	50.0	9	47.4
2	inst1	208-223	16	50.0	10	52.6
4	inst0	192-207	16	50.0	16	50.0
4	inst1	208-223	16	50.0	16	50.0
8	inst0	192-207	16	50.0	25	50.0
8	inst1	208-223	16	50.0	25	50.0
12	inst0	192-207	16	50.0	30	50.8
12	inst1	208-223	16	50.0	29	49.2
16	inst0	192-207	16	50.0	32	49.2
16	inst1	208-223	16	50.0	33	50.8
