Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,22,0,75000,83322.6973809069,65328.50667485036,131553.74859599397,128.0,0.074155455111508,0.0,75000,75000,75000,98000,117000,124000,132000,132000,132000,132000,132000
TPOT,completion,22,0,530,601.6142254077137,475.17318360683487,981.0612790165543,0.0,0.074155455111508,0.0,530,530,530,710,860,920,980,980,980,980,980
TTFT,completion,22,0,7200,6916.98185113174,4980.782769853249,7769.694397924468,0.0,0.074155455111508,0.0,7200,7200,7300,7300,7300,7700,7800,7800,7800,7800,7800
,Aggregated,66,0,7200,30280.431152482113,475.17318360683487,131553.74859599397,42.666666666666664,0.222466365334524,0.0,7200,7800,74000,74000,75000,116000,124000,132000,132000,132000,132000
