Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,42,0,47000,48619.59726699916,3647.4979480262846,70267.44993799366,124.95238095238095,0.14180574076336364,0.0,47000,49000,52000,54000,58000,69000,70000,70000,70000,70000,70000
TPOT,completion,41,0,340,360.11924331569384,271.77344470864205,525.2974211810318,0.0,0.13842941360233116,0.0,340,360,380,380,420,510,530,530,530,530,530
TTFT,completion,42,0,3600,3972.782490425743,3308.008802123368,6832.11935008876,0.0,0.14180574076336364,0.0,3600,3700,3900,4000,5300,6500,6800,6800,6800,6800,6800
,Aggregated,125,0,3600,17789.15871030232,271.77344470864205,70267.44993799366,41.984,0.42204089512905846,0.0,3600,6800,44000,46000,50000,55000,69000,69000,70000,70000,70000
