Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,16,0,32000,29906.279980452382,4674.421519041061,37366.23610416427,120.0,0.05796290629048878,0.0,32000,32000,33000,33000,36000,37000,37000,37000,37000,37000,37000
TPOT,completion,15,0,210,214.92105755414767,155.48428910322428,260.79925433842567,0.0,0.054340224647333235,0.0,210,220,230,250,250,260,260,260,260,260,260
TTFT,completion,16,0,4300,4316.725116615999,3685.425201896578,4701.342175947502,0.0,0.05796290629048878,0.0,4300,4300,4700,4700,4700,4700,4700,4700,4700,4700,4700
,Aggregated,47,0,4300,11718.9765407746,155.48428910322428,37366.23610416427,40.851063829787236,0.1702660372283108,0.0,4300,4700,30000,31000,33000,36000,37000,37000,37000,37000,37000
