pp	prompt_tok	ttft_s	tok_s
1	1	0.082	12.2
2	2	0.079	25.2
4	4	0.076	52.9
8	8	0.080	99.7
16	16	0.086	185.7
32	32	0.114	281.0
48	48	0.106	454.6
64	64	0.118	543.0
96	96	0.130	739.4
128	128	0.143	897.1
256	256	0.235	1089.2
384	384	0.339	1133.9
512	512	0.448	1142.6
768	768	0.660	1163.9
1024	1024	0.887	1153.9
1536	1536	1.454	1056.4
2048	2048	2.035	1006.6
3072	3072	3.466	886.3
4096	4096	5.110	801.6
