Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,40,0,26000,25622.311502695084,19657.4831828475,33554.68329205178,128.0,0.1363128119727709,0.0,26000,27000,28000,29000,33000,34000,34000,34000,34000,34000,34000
TPOT,completion,40,0,170,178.37424832904952,140.21100605449337,249.8786384093128,0.0,0.1363128119727709,0.0,170,180,200,210,220,250,250,250,250,250,250
TTFT,completion,40,0,1900,2968.730010750005,1533.6909650359303,8419.915194856003,0.0,0.1363128119727709,0.0,1900,3700,3900,4200,5000,7400,8400,8400,8400,8400,8400
,Aggregated,120,0,1900,9589.805253924713,140.21100605449337,33554.68329205178,42.666666666666664,0.40893843591831275,0.0,1900,8400,23000,24000,28000,32000,33000,34000,34000,34000,34000
