Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790152377,2,TTFT,completion,0.100000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1700,1708.6048686566453,1646.775821922347,1827.6473570149392,0.0
1790152377,2,,Aggregated,0.300000,0.000000,1800,1800,20000,20000,20000,20000,20000,20000,20000,20000,20000,9,0,1700,6861.197207017932,120.99455162978137,19934.47462283075,42.666666666666664
1790152378,2,POST,completion,0.100000,0.000000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,3,0,19000,18740.879016617935,17018.314033048227,19934.47462283075,128.0
1790152378,2,TPOT,completion,0.100000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,134.10773577921464,120.99455162978137,142.5690707002627,0.0
1790152378,2,TTFT,completion,0.100000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1700,1708.6048686566453,1646.775821922347,1827.6473570149392,0.0
1790152378,2,,Aggregated,0.300000,0.000000,1800,1800,20000,20000,20000,20000,20000,20000,20000,20000,20000,9,0,1700,6861.197207017932,120.99455162978137,19934.47462283075,42.666666666666664
1790152379,2,POST,completion,0.100000,0.000000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,3,0,19000,18740.879016617935,17018.314033048227,19934.47462283075,128.0
1790152379,2,TPOT,completion,0.100000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,134.10773577921464,120.99455162978137,142.5690707002627,0.0
1790152379,2,TTFT,completion,0.100000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1700,1708.6048686566453,1646.775821922347,1827.6473570149392,0.0
1790152379,2,,Aggregated,0.300000,0.000000,1800,1800,20000,20000,20000,20000,20000,20000,20000,20000,20000,9,0,1700,6861.197207017932,120.99455162978137,19934.47462283075,42.666666666666664
1790152380,2,POST,completion,0.100000,0.000000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152380,2,TPOT,completion,0.100000,0.000000,140,140,140,140,140,140,140,140,140,140,140,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152380,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152380,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,20000,20000,20000,20000,20000,20000,20000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152381,2,POST,completion,0.100000,0.000000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152381,2,TPOT,completion,0.100000,0.000000,140,140,140,140,140,140,140,140,140,140,140,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152381,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152381,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,20000,20000,20000,20000,20000,20000,20000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
1790152382,2,POST,completion,0.100000,0.000000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,4,0,19000,18481.158969923854,17018.314033048227,19934.47462283075,128.0
1790152382,2,TPOT,completion,0.100000,0.000000,140,140,140,140,140,140,140,140,140,140,140,4,0,140,131.74986118481928,120.99455162978137,142.5690707002627,0.0
1790152382,2,TTFT,completion,0.100000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1800,1748.3393134898506,1646.775821922347,1867.5426479894668,0.0
1790152382,2,,Aggregated,0.300000,0.000000,1900,1900,18000,18000,20000,20000,20000,20000,20000,20000,20000,12,0,1800,6787.082714866175,120.99455162978137,19934.47462283075,42.666666666666664
