users	source	n	queue_ms	prefill_ms	decode_s	ttft_ms	tpot_ms	itl_ms
2	llamacpp:timings	12	1.3	5413.8	36.83	-	290.0	290.0
4	llamacpp:timings	16	1.3	6074.0	58.30	-	459.1	459.1
8	llamacpp:timings	22	443.2	6719.2	67.26	-	529.6	529.6
12	llamacpp:timings	36	419.6	7193.8	74.55	-	587.0	587.0
16	llamacpp:timings	32	408.1	6918.2	111.82	-	880.5	880.5
