users	ttft_p50	ttft_p90	ttft_p99	ttft_mean	tpot_p50	tpot_p90	tpot_mean	itl_p50	itl_p90	itl_p99	itl_mean	e2e_p50	e2e_p90	e2e_p99	srv_prefill_p50	srv_tpot_p50	queue_p50
2	5.415	5.683	5.706	5.426	290.0	294.2	290.6	291.7	294.4	312.6	290.6	42.35	42.67	42.95	5413.8	290.0	1.3
4	6.075	6.482	6.591	6.141	459.1	461.2	453.3	460.4	472.5	496.9	453.3	64.36	64.91	65.12	6074.0	459.1	1.3
8	7.161	7.327	7.765	6.917	529.6	856.6	601.6	488.3	923.6	964.9	601.6	74.47	116.49	129.98	6719.2	529.6	443.2
12	7.493	9.305	11.492	7.767	587.2	650.4	591.0	496.4	501.7	7093.1	591.0	81.84	90.35	95.66	7193.8	587.0	419.6
16	7.338	8.184	9.725	7.440	880.5	1093.7	868.7	661.4	982.1	7100.8	868.7	119.48	146.09	152.52	6918.2	880.5	408.1
