Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,10,0,20000,19752.38357731141,18316.447084071115,20697.979454882443,128.0,0.03840343660831302,0.0,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000
TPOT,completion,10,0,140,141.40908433835747,131.6948857719416,148.526735519477,0.0,0.03840343660831302,0.0,140,150,150,150,150,150,150,150,150,150,150
TTFT,completion,10,0,1800,1793.3690865524113,1491.3602890446782,2472.44951617904,0.0,0.03840343660831302,0.0,1800,1900,2000,2000,2500,2500,2500,2500,2500,2500,2500
,Aggregated,30,0,1800,7229.053916067393,131.6948857719416,20697.979454882443,42.666666666666664,0.11521030982493904,0.0,1800,2500,19000,20000,20000,20000,21000,21000,21000,21000,21000
