users	ttft_p50	ttft_p90	ttft_p99	ttft_mean	tpot_p50	tpot_p90	tpot_mean	itl_p50	itl_p90	itl_p99	itl_mean	e2e_p50	e2e_p90	e2e_p99	srv_prefill_p50	srv_tpot_p50	queue_p50
2	4.260	4.698	4.701	4.317	213.9	250.8	214.9	222.6	279.0	326.2	214.9	31.63	36.03	37.21	4255.8	213.9	4.3
4	5.430	6.455	7.139	5.529	379.1	410.5	365.2	328.8	381.3	419.3	365.2	52.81	58.44	59.51	5250.9	379.7	52.0
8	5.660	6.032	6.251	5.491	407.2	515.4	422.0	345.4	403.1	5433.3	422.0	57.88	70.66	72.21	5418.5	407.2	206.7
12	5.672	6.973	7.348	5.665	655.3	893.9	622.4	398.1	803.5	5641.2	622.4	86.62	117.57	128.60	5329.9	655.3	297.7
16	5.468	6.890	7.566	5.675	634.5	1460.2	729.0	438.2	1198.8	5636.3	729.0	80.29	191.22	199.37	4974.8	634.5	327.8
