users	reqs	fail	mean_conc	req_per_min	cl_pp_tps_wallavg	cl_tg_tps_wallavg	cl_tot_tps_wallavg	user_pp_tps	user_tg_tps	prompt_tok	out_tok
2	16	0	1.80	3.62	57.9	7.24	65.1	239.7	4.73	1024	128
4	20	0	3.77	4.36	74.4	9.30	83.7	189.9	2.77	1024	128
8	33	0	6.76	6.87	117.2	14.65	131.9	188.5	2.41	1024	128
12	35	0	10.13	7.37	122.2	15.28	137.5	185.6	1.78	1024	128
16	33	0	11.29	7.10	117.4	14.68	132.1	185.1	1.68	1024	128
