users	ttft_p50	ttft_p90	ttft_p99	ttft_mean	tpot_p50	tpot_p90	tpot_mean	itl_p50	itl_p90	itl_p99	itl_mean	e2e_p50	e2e_p90	e2e_p99	srv_prefill_p50	srv_tpot_p50	queue_p50
2	4.490	4.620	4.631	4.514	287.8	293.1	287.9	287.6	294.0	302.6	287.9	41.04	41.72	41.74	-	-	-
4	5.129	5.283	5.293	5.058	460.5	461.6	453.4	464.9	471.8	484.3	453.4	63.61	63.88	63.97	-	-	-
8	5.457	5.687	5.794	5.393	501.1	522.9	504.3	477.7	487.0	518.5	504.3	69.09	72.07	76.16	-	-	-
12	5.461	5.638	5.803	5.418	532.8	565.8	538.8	477.7	488.9	5092.3	538.8	72.96	77.44	80.29	-	-	-
16	5.558	5.798	6.649	5.562	586.3	603.8	588.4	487.8	499.7	5276.7	588.4	80.15	82.37	86.31	-	-	-
