users	reqs	fail	mean_conc	req_per_min	cl_pp_tps_wallavg	cl_tg_tps_wallavg	cl_tot_tps_wallavg	user_pp_tps	user_tg_tps	prompt_tok	out_tok
2	13	0	1.84	2.69	45.9	5.74	51.7	226.9	3.47	1024	128
4	16	0	3.68	3.53	60.2	7.52	67.7	202.8	2.21	1024	128
8	28	0	6.68	5.78	98.6	12.32	110.9	190.6	1.99	1024	128
12	36	0	10.48	8.51	145.3	18.16	163.4	189.2	1.86	1024	128
16	48	0	14.37	10.74	183.3	22.92	206.3	184.8	1.70	1024	128
