Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,65,0,50000,49389.00855208317,1902.6231430470943,60580.145105021074,126.03076923076924,0.22965542188982743,0.0,50000,53000,55000,56000,58000,59000,59000,61000,61000,61000,61000
TPOT,completion,64,0,380,375.63087340490387,264.19229700054063,450.10938945659035,0.0,0.22612226155306087,0.0,380,410,420,420,440,450,450,450,450,450,450
TTFT,completion,65,0,2100,2417.192530628437,1583.1157700158656,6199.8171280138195,0.0,0.22965542188982743,0.0,2100,2300,2400,2600,3800,3800,4300,6200,6200,6200,6200
,Aggregated,194,0,2100,17481.66724883592,264.19229700054063,60580.145105021074,42.22680412371134,0.6854331053327157,0.0,2100,4300,46000,48000,54000,56000,59000,59000,61000,61000,61000
