Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,49,0,77000,74487.7739636351,50957.86352478899,100784.53121799976,128.0,0.17737652178264207,0.0,77000,81000,82000,83000,99000,100000,101000,101000,101000,101000,101000
TPOT,completion,49,0,560,546.0958471109054,352.8802718813201,759.538922746717,0.0,0.17737652178264207,0.0,560,600,610,620,730,730,760,760,760,760,760
TTFT,completion,49,0,4300,5132.945684055627,2593.1240308564156,12454.670837149024,0.0,0.17737652178264207,0.0,4300,5800,6100,6800,7600,7700,12000,12000,12000,12000,12000
,Aggregated,147,0,4300,26722.27183160055,352.8802718813201,100784.53121799976,42.666666666666664,0.5321295653479262,0.0,4300,12000,61000,73000,81000,94000,100000,100000,101000,101000,101000
