Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,60,0,34000,32370.826754315447,20756.982962833717,41110.48269481398,128.0,0.20143389519138,0.0,34000,36000,38000,39000,40000,41000,41000,41000,41000,41000,41000
TPOT,completion,60,0,240,233.35187552341574,140.4185271656918,308.6778181110047,0.0,0.20143389519138,0.0,240,260,280,290,290,310,310,310,310,310,310
TTFT,completion,60,0,2700,2735.084508433162,1769.30106501095,3670.70263880305,0.0,0.20143389519138,0.0,2700,3500,3500,3500,3700,3700,3700,3700,3700,3700,3700
,Aggregated,180,0,2700,11779.75437942401,140.4185271656918,41110.48269481398,42.666666666666664,0.60430168557414,0.0,2700,3700,28000,30000,37000,39000,41000,41000,41000,41000,41000
