pp	prompt_tok	ttft_s	tok_s
1	1	0.132	7.6
2	2	0.139	14.4
4	4	0.135	29.7
8	8	0.144	55.7
16	16	0.156	102.4
32	32	0.190	168.2
48	48	0.194	248.0
64	64	0.223	286.8
96	96	0.250	384.5
128	128	0.278	460.2
256	256	0.446	574.2
384	384	0.600	640.1
512	512	0.751	682.2
768	768	1.101	697.7
1024	1024	1.465	698.9
1536	1536	2.256	680.8
2048	2048	3.082	664.4
3072	3072	4.973	617.7
4096	4096	7.159	572.2
