users	ttft_p50	ttft_p90	ttft_p99	ttft_mean	tpot_p50	tpot_p90	tpot_mean	itl_p50	itl_p90	itl_p99	itl_mean	e2e_p50	e2e_p90	e2e_p99	srv_prefill_p50	srv_tpot_p50	queue_p50
2	3.773	3.976	4.043	3.801	238.4	274.7	245.4	249.2	289.8	306.9	245.4	34.00	38.68	39.61	-	-	-
4	4.359	4.821	4.934	4.367	364.7	393.3	361.4	351.6	368.2	392.8	361.4	50.54	54.60	55.07	-	-	-
8	4.538	5.469	5.670	4.679	393.4	432.0	397.2	356.5	377.9	4287.5	397.2	54.42	59.42	63.88	-	-	-
12	4.504	4.736	4.878	4.456	422.2	483.2	430.9	356.1	382.9	4324.2	430.9	58.21	65.81	66.60	-	-	-
16	4.535	5.323	6.199	4.623	455.0	537.1	478.4	363.8	395.9	4432.2	478.4	62.26	73.91	80.64	-	-	-
