users	source	n	queue_ms	prefill_ms	decode_s	ttft_ms	tpot_ms	itl_ms
2	vllm:prometheus	5	0.0	3781.0	34.62	3781.7	272.6	273.4
4	vllm:prometheus	6	0.0	4532.9	49.96	4680.2	393.4	393.9
8	vllm:prometheus	12	0.0	4561.7	54.82	4784.6	431.6	428.9
12	vllm:prometheus	16	0.0	4289.8	59.79	4511.3	470.8	466.0
16	vllm:prometheus	21	0.0	4458.8	68.65	4689.4	540.6	540.3
