users	reqs	fail	mean_conc	req_per_min	cl_pp_tps_wallavg	cl_tg_tps_wallavg	cl_tot_tps_wallavg	user_pp_tps	user_tg_tps	prompt_tok	out_tok
2	16	0	1.95	3.35	57.2	7.15	64.4	269.7	4.11	1024	128
4	20	0	3.82	4.56	77.9	9.74	87.6	236.0	2.78	1024	128
8	38	0	7.12	7.75	132.3	16.53	148.8	220.7	2.53	1024	128
12	49	0	10.31	10.45	178.4	22.30	200.7	230.6	2.34	1024	128
16	62	0	13.79	12.66	216.0	27.01	243.1	223.5	2.11	1024	128
