users	reqs	fail	mean_conc	req_per_min	cl_pp_tps_wallavg	cl_tg_tps_wallavg	cl_tot_tps_wallavg	user_pp_tps	user_tg_tps	prompt_tok	out_tok
2	10	0	0.77	2.33	39.7	4.97	44.7	586.6	7.08	1024	128
4	20	0	1.66	4.61	78.7	9.83	88.5	567.5	6.46	1024	128
8	40	0	3.57	8.37	142.8	17.86	160.7	426.3	5.75	1024	128
12	60	0	6.56	12.15	207.4	25.92	233.3	406.1	4.51	1024	128
16	70	0	9.59	14.82	252.9	31.61	284.5	422.4	3.62	1024	128
