users	ttft_p50	ttft_p90	ttft_p99	ttft_mean	tpot_p50	tpot_p90	tpot_mean	itl_p50	itl_p90	itl_p99	itl_mean	e2e_p50	e2e_p90	e2e_p99	srv_prefill_p50	srv_tpot_p50	queue_p50
2	1.673	1.832	1.864	1.708	130.5	139.1	130.9	121.6	130.0	131.3	130.9	18.28	19.34	19.87	1655.2	130.5	19.4
4	1.906	2.550	2.765	2.021	155.3	174.1	153.0	133.7	137.9	1718.6	153.0	21.57	23.99	24.24	1726.1	155.3	99.8
8	2.102	6.921	11.799	3.305	359.4	427.1	303.7	252.0	395.2	2098.2	303.7	46.98	55.69	62.55	1969.9	359.4	135.6
12	2.366	3.936	4.708	2.631	538.9	577.5	534.7	410.8	652.8	2096.7	534.7	71.94	75.68	75.91	1950.9	538.9	398.3
16	2.121	3.773	4.972	2.417	375.9	436.1	375.6	174.4	538.1	2040.8	375.6	49.71	57.63	59.42	1909.3	375.9	171.6
