users	reqs	fail	mean_conc	req_per_min	cl_pp_tps_wallavg	cl_tg_tps_wallavg	cl_tot_tps_wallavg	user_pp_tps	user_tg_tps	prompt_tok	out_tok
2	10	0	0.69	2.25	38.3	4.79	43.1	601.5	7.66	1024	128
4	20	0	1.61	4.50	76.8	9.59	86.4	520.0	6.64	1024	128
8	32	0	4.74	7.20	115.2	14.40	129.6	411.2	3.93	1024	128
12	38	0	9.36	8.17	135.7	16.96	152.7	421.4	1.88	1024	128
16	65	0	11.88	14.43	242.4	30.30	272.7	456.1	2.70	1024	128
