users	source	n	queue_ms	prefill_ms	decode_s	ttft_ms	tpot_ms	itl_ms
2	llamacpp:timings	10	19.4	1655.2	16.57	-	130.5	130.5
4	llamacpp:timings	20	99.8	1726.1	19.73	-	155.3	155.3
8	llamacpp:timings	30	135.6	1969.9	45.64	-	359.4	359.4
12	llamacpp:timings	37	398.3	1950.9	68.44	-	538.9	538.9
16	llamacpp:timings	64	171.6	1909.3	47.74	-	375.9	375.9
