Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,completion,20,0,22000,21660.702965501696,18798.862559022382,23700.052397092804,128.0,0.07523258567186378,0.0,22000,23000,23000,23000,24000,24000,24000,24000,24000,24000,24000
TPOT,completion,20,0,160,155.77980266915134,135.57508088259655,174.722884607494,0.0,0.07523258567186378,0.0,160,160,170,170,170,170,170,170,170,170,170
TTFT,completion,20,0,1700,1876.612991548609,1508.4157749079168,2666.038458002731,0.0,0.07523258567186378,0.0,1700,2000,2100,2500,2500,2700,2700,2700,2700,2700,2700
,Aggregated,60,0,1700,7897.698586573153,135.57508088259655,23700.052397092804,42.666666666666664,0.22569775701559133,0.0,1700,2700,20000,22000,23000,23000,24000,24000,24000,24000,24000
