pp	prompt_tok	ttft_s	tok_s
1	1	0.118	8.5
2	2	0.123	16.3
4	4	0.125	32.0
8	8	0.133	60.2
16	16	0.135	118.3
32	32	0.147	217.0
48	48	0.159	302.1
64	64	0.178	359.3
96	96	0.218	440.4
128	128	0.329	388.9
256	256	0.423	604.9
384	384	0.600	639.6
512	512	0.758	675.3
768	768	1.202	639.0
1024	1024	1.560	656.3
1536	1536	2.415	636.1
2048	2048	3.316	617.7
3072	3072	5.255	584.6
4096	4096	7.402	553.3
